,artists,disc_number,explicit,is_local,name,popularity,track_number,type,genre,album_type,year,album_name,danceability,duration_ms,energy,instrumentalness,liveness,tempo,valence,pitch_0_mean,pitch_1_mean,pitch_2_mean,pitch_3_mean,pitch_4_mean,pitch_5_mean,pitch_6_mean,pitch_7_mean,pitch_8_mean,pitch_9_mean,pitch_10_mean,pitch_11_mean,pitch_0_sd,pitch_1_sd,pitch_2_sd,pitch_3_sd,pitch_4_sd,pitch_5_sd,pitch_6_sd,pitch_7_sd,pitch_8_sd,pitch_9_sd,pitch_10_sd,pitch_11_sd,timbre_0_mean,timbre_1_mean,timbre_2_mean,timbre_3_mean,timbre_4_mean,timbre_5_mean,timbre_6_mean,timbre_7_mean,timbre_8_mean,timbre_9_mean,timbre_10_mean,timbre_11_mean,timbre_0_sd,timbre_1_sd,timbre_2_sd,timbre_3_sd,timbre_4_sd,timbre_5_sd,timbre_6_sd,timbre_7_sd,timbre_8_sd,timbre_9_sd,timbre_10_sd,timbre_11_sd
6QfL8UYTuaWo5LEYx5PpPX,Robert Rich,1,False,False,Somnium,20,11,track,ambient,album,2001,Fahrenheit Project Part Two,0.06,492893,0.131,0.977,0.113,67.282,0.032,38.437443217665546,-85.23450157728705,-37.01088406940069,-42.2128998422713,37.68167271293376,-43.3673343848581,-7.122346214511053,4.572901419558358,-12.287294952681398,-0.36390378548895924,-1.7133272870662488,6.251783911671925,3.6669553105182904,40.338999954137655,38.99996258788362,19.924492768824326,17.94712035912245,9.817589116727904,18.028317745821074,11.758257444517566,14.66760363008087,9.824399830132428,6.674770260534823,9.627586765663569,38.437443217665546,-85.23450157728705,-37.01088406940069,-42.2128998422713,37.68167271293376,-43.3673343848581,-7.122346214511053,4.572901419558358,-12.287294952681398,-0.36390378548895924,-1.7133272870662488,6.251783911671925,3.6669553105182904,40.338999954137655,38.99996258788362,19.924492768824326,17.94712035912245,9.817589116727904,18.028317745821074,11.758257444517566,14.66760363008087,9.824399830132428,6.674770260534823,9.627586765663569
4XxbBFfKlXY2E5PN3dHAfz,Air,1,False,False,Talisman,45,5,track,ambient,album,1998,Moon Safari,0.565,256707,0.547,0.861,0.114,132.937,0.298,43.438246788990824,-46.05564403669723,-35.58310183486243,-23.85220733944952,22.61505137614687,-43.04059541284394,0.4070100917431168,-6.205539449541283,-8.784593577981656,-0.0082275229357797,-3.5490798165137596,-4.36065779816514,7.000684063034561,101.07305021968327,41.89738583765227,30.457313611977483,29.956041219856964,25.838505706994937,21.784247714012583,17.833466043604027,18.74425999919213,18.500035680445418,12.925462404534471,15.384233938680062,43.438246788990824,-46.05564403669723,-35.58310183486243,-23.85220733944952,22.61505137614687,-43.04059541284394,0.4070100917431168,-6.205539449541283,-8.784593577981656,-0.0082275229357797,-3.5490798165137596,-4.36065779816514,7.000684063034561,101.07305021968327,41.89738583765227,30.457313611977483,29.956041219856964,25.838505706994937,21.784247714012583,17.833466043604027,18.74425999919213,18.500035680445418,12.925462404534471,15.384233938680062
5hbTbKQXJuZ0qFVerk6jRp,Brian Eno,1,False,False,Emerald and Lime,41,1,track,ambient,album,2010,Small Craft On A Milk Sea,0.0736,182373,0.0983,0.914,0.102,78.008,0.0346,35.19424609375,-91.03709375,54.87350781250006,-5.445011718750003,22.984490234374988,-26.51515624999997,-1.8113300781249997,2.2711953124999997,-14.215679687500005,-8.310388671874998,-0.9125546875,-0.5756386718750002,6.39956039081432,36.5135372878476,33.90340464375657,19.167733741131197,27.677295307420327,12.771707288365437,24.8033332795287,11.963855013812394,20.347987534578824,10.875718778923424,8.079882565177673,13.56205164011505,35.19424609375,-91.03709375,54.87350781250006,-5.445011718750003,22.984490234374988,-26.51515624999997,-1.8113300781249997,2.2711953124999997,-14.215679687500005,-8.310388671874998,-0.9125546875,-0.5756386718750002,6.39956039081432,36.5135372878476,33.90340464375657,19.167733741131197,27.677295307420327,12.771707288365437,24.8033332795287,11.963855013812394,20.347987534578824,10.875718778923424,8.079882565177673,13.56205164011505
0XiHcuUEf1wmvmX1cOaVR9,Bonobo,1,False,False,Eyesdown,50,4,track,ambient,album,2010,Black Sands,0.758,326240,0.455,0.493,0.11,129.976,0.183,42.93265214384513,4.702542876901801,-30.120368603042866,-7.324171507607189,16.92837275242048,-31.496724757952947,-9.141627247579539,-7.163509681881041,-0.987407330567081,-1.3950484094052553,-12.403396957123093,2.994178423236516,6.209650317510919,61.8973916941609,54.50811137317334,57.559974263043735,27.32568588440822,36.928014466270376,21.723545782126735,25.098229129983494,15.037043947818935,16.89666453443846,20.99324054694018,12.205253723967111,42.93265214384513,4.702542876901801,-30.120368603042866,-7.324171507607189,16.92837275242048,-31.496724757952947,-9.141627247579539,-7.163509681881041,-0.987407330567081,-1.3950484094052553,-12.403396957123093,2.994178423236516,6.209650317510919,61.8973916941609,54.50811137317334,57.559974263043735,27.32568588440822,36.928014466270376,21.723545782126735,25.098229129983494,15.037043947818935,16.89666453443846,20.99324054694018,12.205253723967111
2dqLO6897sZKnAAXuOcdGW,Autechre,1,False,False,Altibzz,28,1,track,ambient,album,2008,Quaristice,0.214,172480,0.0559,0.836,0.0996,133.985,0.0395,34.6466349614396,-158.87431105398463,-8.292910025706938,-31.34149614395887,15.360709511568121,-33.276475578406185,8.20839845758354,6.746064267352182,-4.1203059125964,-2.209727506426735,-4.023457583547558,-2.0539074550128547,7.53556389850589,57.59894566375043,35.479696250030955,32.74888760018573,20.98355483690107,18.579928405240455,16.917853208325546,13.674165816487193,15.77858150274132,10.528027612035538,12.019884345609585,9.649824618975225,34.6466349614396,-158.87431105398463,-8.292910025706938,-31.34149614395887,15.360709511568121,-33.276475578406185,8.20839845758354,6.746064267352182,-4.1203059125964,-2.209727506426735,-4.023457583547558,-2.0539074550128547,7.53556389850589,57.59894566375043,35.479696250030955,32.74888760018573,20.98355483690107,18.579928405240455,16.917853208325546,13.674165816487193,15.77858150274132,10.528027612035538,12.019884345609585,9.649824618975225
7GTzB4QUfO0oXfvzwtKBom,Brian Eno,1,False,False,Small Craft on a Milk Sea,30,3,track,ambient,album,2010,Small Craft On A Milk Sea,0.45399999999999996,108840,0.23399999999999999,0.95,0.11,107.975,0.0389,30.15704666666667,-122.40492,-43.17743333333333,-33.019600000000004,-9.27833666666667,-34.32102666666666,14.292766666666676,11.026833333333327,-21.73371999999998,-5.412899999999994,-4.093516666666665,1.5238800000000006,5.418601932926421,46.51878257062525,42.180233801359456,31.86622487828314,24.643530062536335,19.515195618955733,19.153552660292306,16.49064618272943,19.04901296475413,12.640426175423084,10.469807643730201,11.338578740378912,30.15704666666667,-122.40492,-43.17743333333333,-33.019600000000004,-9.27833666666667,-34.32102666666666,14.292766666666676,11.026833333333327,-21.73371999999998,-5.412899999999994,-4.093516666666665,1.5238800000000006,5.418601932926421,46.51878257062525,42.180233801359456,31.86622487828314,24.643530062536335,19.515195618955733,19.153552660292306,16.49064618272943,19.04901296475413,12.640426175423084,10.469807643730201,11.338578740378912
3lUZ5NtgheTRBhIAAEoVKu,Marconi Union,1,False,False,Sleepless,35,1,track,ambient,album,2012,Distance,0.221,341627,0.209,0.893,0.0839,160.171,0.0313,39.88575935828877,-111.99126844919762,33.269828877005295,-10.737125133689846,12.688735828877014,-31.97040320855614,6.860912299465238,0.9721721925133687,-11.910899465240647,-6.449045989304817,-1.8774909090909098,1.1240844919786126,6.866958881432788,68.81441221024234,46.61019841511264,27.144686268335857,43.23019218927157,15.007114775798646,26.91193471848661,13.711713492589688,14.075944466261971,9.571675939467132,9.703205173765484,14.65537732053325,39.88575935828877,-111.99126844919762,33.269828877005295,-10.737125133689846,12.688735828877014,-31.97040320855614,6.860912299465238,0.9721721925133687,-11.910899465240647,-6.449045989304817,-1.8774909090909098,1.1240844919786126,6.866958881432788,68.81441221024234,46.61019841511264,27.144686268335857,43.23019218927157,15.007114775798646,26.91193471848661,13.711713492589688,14.075944466261971,9.571675939467132,9.703205173765484,14.65537732053325
1j7Aja1PyrcuczY36JmzBv,Radiohead,1,False,False,Treefingers,4,5,track,ambient,album,2000,Kid A (Collector's Edition),0.157,222600,0.145,0.8859999999999999,0.109,138.305,0.0635,35.44045942571786,-191.21326217228477,-31.842330836454472,-35.08441697877651,6.463589263420729,-36.08598127340829,13.824279650436951,5.277270911360806,-1.1712359550561817,-4.433124843945066,-3.872084893882644,-0.8285892634207241,5.143635536871193,72.32195005376087,39.08450028485284,27.16421981630269,24.265679770456344,13.357881608937802,22.20013940438658,14.449299865573604,18.2734912482674,11.11377444567751,8.70953882908183,12.160249935438605,35.44045942571786,-191.21326217228477,-31.842330836454472,-35.08441697877651,6.463589263420729,-36.08598127340829,13.824279650436951,5.277270911360806,-1.1712359550561817,-4.433124843945066,-3.872084893882644,-0.8285892634207241,5.143635536871193,72.32195005376087,39.08450028485284,27.16421981630269,24.265679770456344,13.357881608937802,22.20013940438658,14.449299865573604,18.2734912482674,11.11377444567751,8.70953882908183,12.160249935438605
63ZyPUR8NqWgonSM6RsWp0,Fort Fairfield,1,False,False,The Forest Awakens at Night to Reveal Another World,1,9,track,ambient,album,2010,The Dead Sea Scrolls,0.45899999999999996,256119,0.6,0.637,0.10400000000000001,94.99700000000001,0.17,42.177617647058774,-36.540311274509804,-3.8664681372549037,-15.787743872549031,10.523230392156863,-25.899406862745114,-19.81135171568629,-4.742941176470589,-17.517136029411773,-6.427188725490183,-2.6585012254901947,5.195161764705879,7.114314725131856,64.0771885418623,52.23424330180222,37.52023308009463,31.05814729799033,25.1404548753798,25.110396669227686,17.05934394782747,22.752373941640606,15.74912160810614,13.423200606239028,15.921413588497995,42.177617647058774,-36.540311274509804,-3.8664681372549037,-15.787743872549031,10.523230392156863,-25.899406862745114,-19.81135171568629,-4.742941176470589,-17.517136029411773,-6.427188725490183,-2.6585012254901947,5.195161764705879,7.114314725131856,64.0771885418623,52.23424330180222,37.52023308009463,31.05814729799033,25.1404548753798,25.110396669227686,17.05934394782747,22.752373941640606,15.74912160810614,13.423200606239028,15.921413588497995
7tYWOS9QQkJgaJ0a4WfUyk,Burial,1,False,False,In McDonalds,0,7,track,ambient,album,2007,Untrue,0.252,131000,0.136,0.9359999999999999,0.147,127.991,0.0366,32.63537135922328,-149.81034466019406,-34.740123786407764,-39.117087378640804,45.57614563106792,-41.820463592233004,-20.56188106796118,1.6083519417475722,-0.8968203883495143,-2.0983665048543676,1.5216262135922343,9.293529126213597,7.218597875288144,62.717589647132705,52.9663596387254,26.707005540244545,37.23513230328281,16.92332607789666,25.52380271510005,14.868067319590484,10.88619795203416,10.850582951101261,10.692003541592335,9.224352671905738,32.63537135922328,-149.81034466019406,-34.740123786407764,-39.117087378640804,45.57614563106792,-41.820463592233004,-20.56188106796118,1.6083519417475722,-0.8968203883495143,-2.0983665048543676,1.5216262135922343,9.293529126213597,7.218597875288144,62.717589647132705,52.9663596387254,26.707005540244545,37.23513230328281,16.92332607789666,25.52380271510005,14.868067319590484,10.88619795203416,10.850582951101261,10.692003541592335,9.224352671905738
2Uy2p6tkVLj6vaVznKpNCs,Stars Of The Lid,1,False,False,"Articulate Silences, Pt. 1",43,2,track,ambient,album,2007,And Their Refinement of the Decline,0.147,324400,0.0865,0.909,0.0774,140.612,0.032,31.47608679927663,-112.44597016274872,81.42075678119342,4.80916636528029,59.03967359855334,-31.12209132007235,-7.223283001808315,1.0206980108499102,-14.317013562386986,-6.019364376130211,0.5395153707052444,-4.603767631103075,7.117858832915252,91.39272458290091,44.04932831824229,24.67742817854282,33.17842725885593,11.84664816936278,17.161598207763877,11.940771037548767,17.300379056522544,11.005560584181401,9.14456048300657,17.667166723642445,31.47608679927663,-112.44597016274872,81.42075678119342,4.80916636528029,59.03967359855334,-31.12209132007235,-7.223283001808315,1.0206980108499102,-14.317013562386986,-6.019364376130211,0.5395153707052444,-4.603767631103075,7.117858832915252,91.39272458290091,44.04932831824229,24.67742817854282,33.17842725885593,11.84664816936278,17.161598207763877,11.940771037548767,17.300379056522544,11.005560584181401,9.14456048300657,17.667166723642445
2gDmEAdcyfpcPYNIsZFewE,Hammock,1,False,False,Sinking Inside Yourself,1,2,track,ambient,album,2011,Asleep in the Downlights,0.22899999999999998,360178,0.473,0.746,0.307,119.835,0.141,43.855920529801324,12.290506622516585,53.89735982339958,-5.416816777041944,13.478150110375278,-33.305770419426,0.6162328918322311,-2.754875275938191,6.177964679911686,2.783948123620311,-4.0317251655629125,-3.5216666666666656,9.3653378187856,33.43029230266156,26.92646967007723,14.643541916802588,29.04352400466388,9.17330160234395,18.03334424922052,11.114966647773263,14.430851207358394,9.047804499023755,7.430361349939913,17.353916946595042,43.855920529801324,12.290506622516585,53.89735982339958,-5.416816777041944,13.478150110375278,-33.305770419426,0.6162328918322311,-2.754875275938191,6.177964679911686,2.783948123620311,-4.0317251655629125,-3.5216666666666656,9.3653378187856,33.43029230266156,26.92646967007723,14.643541916802588,29.04352400466388,9.17330160234395,18.03334424922052,11.114966647773263,14.430851207358394,9.047804499023755,7.430361349939913,17.353916946595042
0cQ8UYt71w8QMVZbBcKI74,Helios,1,False,False,Vargtimme,18,4,track,ambient,album,2009,Eingya,0.0634,237800,0.141,0.961,0.0662,71.358,0.0357,36.146149425287355,-180.37569109195422,21.831528735632254,-22.880774425287342,56.672007183908086,-36.773876436781556,-18.917110632183896,-0.32815229885057,3.0778577586206857,-1.4022931034482757,2.1345301724137955,5.4930158045977,6.1980167645474395,58.37703019957169,44.278224314403,19.971585120606193,26.01807122831506,8.921799483568211,17.47148546807411,10.713920949226203,10.368762064050337,7.570856393610419,6.464761834665253,8.145961418482448,36.146149425287355,-180.37569109195422,21.831528735632254,-22.880774425287342,56.672007183908086,-36.773876436781556,-18.917110632183896,-0.32815229885057,3.0778577586206857,-1.4022931034482757,2.1345301724137955,5.4930158045977,6.1980167645474395,58.37703019957169,44.278224314403,19.971585120606193,26.01807122831506,8.921799483568211,17.47148546807411,10.713920949226203,10.368762064050337,7.570856393610419,6.464761834665253,8.145961418482448
69eD0IfAqEIUnKX63Npksy,Brian Eno,1,False,False,Discreet Music - Remastered 2004,34,1,track,ambient,album,1975,Discreet Music,0.0926,1894893,0.00839,0.9390000000000001,0.0599,69.02,0.0332,23.964659829721306,-158.89844427244617,8.602158475232223,-24.269062113003088,61.76031385448921,-41.670093266253716,9.764153637770889,8.50923974458202,-20.290771865325127,-4.926037732198151,-1.3918842879256967,-5.597245743034059,4.947662244308761,46.968672961041754,51.28794498086478,25.485031499583286,35.35207372912205,11.42238650403079,26.526651167141697,10.693793492086636,15.522597745217364,7.80095517588782,7.510412332364301,14.92376465638744,23.964659829721306,-158.89844427244617,8.602158475232223,-24.269062113003088,61.76031385448921,-41.670093266253716,9.764153637770889,8.50923974458202,-20.290771865325127,-4.926037732198151,-1.3918842879256967,-5.597245743034059,4.947662244308761,46.968672961041754,51.28794498086478,25.485031499583286,35.35207372912205,11.42238650403079,26.526651167141697,10.693793492086636,15.522597745217364,7.80095517588782,7.510412332364301,14.92376465638744
7yqKXk9XNLMmPahxpK8pAo,Stars Of The Lid,2,False,False,Tippy's Demise,29,6,track,ambient,album,2007,And Their Refinement of the Decline,0.10300000000000001,498760,0.131,0.877,0.147,91.304,0.0273,37.303186902134,-84.34908167770418,17.184648270787363,-20.62328329654156,0.6723620309050798,-35.66602281089034,3.572003679175867,2.144033112582779,1.7033053715967603,0.5274944812362031,-0.9546983075791015,4.658782192788815,7.149509365254635,36.75512765587882,21.239756603981412,15.854979952695958,17.025558392610126,7.845062541311785,17.50540478479898,10.645969863887018,12.71096483571138,8.22867396383071,7.127360422607044,14.587301991455892,37.303186902134,-84.34908167770418,17.184648270787363,-20.62328329654156,0.6723620309050798,-35.66602281089034,3.572003679175867,2.144033112582779,1.7033053715967603,0.5274944812362031,-0.9546983075791015,4.658782192788815,7.149509365254635,36.75512765587882,21.239756603981412,15.854979952695958,17.025558392610126,7.845062541311785,17.50540478479898,10.645969863887018,12.71096483571138,8.22867396383071,7.127360422607044,14.587301991455892
